bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Time_21,248,-,-,-,-,-
Time_21,250,6 5 5 5 5,508 5050 509 243 566,22,53,-
Time_21,252,-,-,-,-,-
Time_21,254,7 5 5,13907 1039 827,17,37,-
Time_21,256,-,-,-,-,-
Time_21,258,-,-,-,-,-
Time_21,260,-,-,-,-,-
Time_21,262,7 6,8199 3676,17,31,-
Time_21,264,-,-,-,-,-
Time_21,266,-,-,-,-,-
Time_21,268,6 6 6 6 7 6 6 6 6 5 5 5 5 5 5,2309 4729 3436 1776 12636 2735 1803 1709 4161 2210 3781 5452 5154 916 1499,20,115,-
Time_21,270,7 5 5,13901 1039 827,19,39,-
Time_21,272,7 6,7917 3676,21,36,-
Time_21,274,-,-,-,-,-
Time_21,276,8 8 7 7 8 7 6 5 5 5 5 5 5 5 5,2309 4729 3436 1776 12636 2766 1803 1709 4161 2210 3781 5452 5154 916 1499,17,118,-
Time_21,278,-,-,-,-,-
Time_21,280,-,-,-,-,-
Time_21,282,6,2151,17,25,-
Time_21,284,7 6,8211 3580,20,35,-
Time_21,286,-,-,-,-,-
Time_21,288,-,-,-,-,-
Time_21,290,-,-,-,-,-
Time_21,292,7 6,8211 3676,20,35,-
Time_21,294,-,-,-,-,-
Time_21,296,7,1633,18,26,-
Time_21,298,-,-,-,-,-
Time_21,300,-,-,-,-,-
Time_21,302,7,2180,19,27,-
Time_21,304,-,-,-,-,-
Time_21,306,-,-,-,-,-
Time_21,308,7 6,8211 3676,14,30,-
Time_21,310,7 6,8153 3676,18,33,-
Time_21,312,-,-,-,-,-
Time_21,314,-,-,-,-,-
Time_21,316,7,1370,14,22,-
Time_21,318,-,-,-,-,-
Time_21,320,7 5 5,13907 1039 827,16,37,-
Time_21,322,-,-,-,-,-
Time_21,324,-,-,-,-,-
Time_21,326,-,-,-,-,-
Time_21,328,-,-,-,-,-
Time_21,330,-,-,-,-,-
Time_21,332,7,4020,15,24,-
Time_21,334,-,-,-,-,-
Time_21,336,7 6,8204 3676,-,10038,-
Time_21,338,-,-,-,-,-
Time_21,340,-,-,-,-,-
Time_21,342,-,-,-,-,-
Time_21,344,2 0,8201 3676,204,311,-
Time_21,346,3 2,8151 3676,54,61,-
Time_21,348,-,-,-,-,-
Time_21,350,3 3 3 3 3 3 3 3,4049 4427 1526 1708 2295 7309 8718 3321,45,75,-
Time_21,352,4 3 3 3 3 3 3 3,4049 4427 1526 1708 2295 7309 8730 3321,36,66,-
Time_21,354,4 3,1203 2925,24,33,-
Time_21,356,-,-,-,-,-
Time_21,358,4 3 3 3 4 3 3 3 3 3 3 3 3 3 3,2309 4729 3436 1776 12636 2882 1803 1709 4161 2210 3759 5452 5154 916 1499,28,88,-
Time_21,360,-,-,-,-,-
Time_21,362,4 3,8219 3676,30,40,-
Time_21,364,4 4,1229 2925,22,32,-
Time_21,366,5 4,8211 3630,30,41,-
Time_21,368,5 4 3,13897 1039 827,27,42,-
Time_21,370,5 4 4,13907 1039 827,30,45,-
Time_21,372,5 4,5355 3676,28,39,-
Time_21,374,-,-,-,-,-
