bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Chart_10,2,13,636,0,14,-
Chart_10,12,12,677,0,13,-
Chart_10,20,-,-,-,-,-
Chart_10,34,12,762,1,14,-
Chart_10,42,-,-,-,-,-
Chart_10,46,12,636,0,13,-
Chart_10,54,11,636,0,18,-
Chart_10,60,10,636,0,17,-
Chart_10,62,-,-,-,-,-
Chart_10,98,11,636,0,12,-
Chart_10,102,-,-,-,-,-
Chart_10,108,11,762,0,12,-
Chart_10,164,11,677,0,18,-
Chart_10,222,11,677,0,12,-
Chart_10,248,11,762,0,12,-
Chart_10,256,10,636,0,12,-
Chart_10,294,11,762,2,14,-
Chart_10,298,11,636,1,13,-
Chart_10,300,10,638,0,15,-
Chart_10,320,10,762,0,15,-
Chart_10,340,10,636,0,14,-
Chart_10,362,15,762,0,18,-
Chart_10,368,14,762,0,20,-
