bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Chart_25,336,-,-,-,-,-
Chart_25,338,24,42350,5,30,-
Chart_25,340,-,-,-,-,-
Chart_25,342,-,-,-,-,-
Chart_25,344,15,2989,5,22,-
Chart_25,346,-,-,-,-,-
Chart_25,348,15,8507,5,22,-
Chart_25,350,-,-,-,-,-
Chart_25,352,-,-,-,-,-
Chart_25,354,16,8996,5,23,-
Chart_25,356,24,42160,6,31,-
Chart_25,358,16,15316,5 2939,22,2943
Chart_25,360,19,42683,6,26,-
Chart_25,362,17,10275,5,24,-
Chart_25,364,16,5273,5,23,-
Chart_25,366,17,8617,5,23,-
Chart_25,368,17,10183,5,24,-
Chart_25,370,16,5157,6,23,-
Chart_25,372,-,-,-,-,-
Chart_25,374,-,-,-,-,-
Chart_25,376,19,23174,5,26,-
Chart_25,378,18,16419,5,24,-
Chart_25,380,25,42682,5,32,-
Chart_25,382,18,42652,5,25,-
Chart_25,384,16,10256,6,24,-
Chart_25,386,25,42358,5,32,-
Chart_25,388,-,-,-,-,-
Chart_25,390,25,42699,5,32,-
Chart_25,392,17,23133,5,23,-
Chart_25,394,-,-,-,-,-
Chart_25,396,18,15452,5,25,-
Chart_25,398,-,-,-,-,-
Chart_25,400,-,-,-,-,-
