bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Time_22,2,-,-,-,-,-
Time_22,4,13 12,8201 3676,23,50,-
Time_22,6,-,-,-,-,-
Time_22,8,13 8,1115 4117,36,59,-
Time_22,10,7 7,1201 2925,24,40,-
Time_22,12,-,-,-,-,-
Time_22,14,-,-,-,-,-
Time_22,16,11,9945,27,40,-
Time_22,18,8 6,7912 3576,27,44,-
Time_22,20,-,-,-,-,-
Time_22,22,8,2257,20,29,-
Time_22,24,9,4144,20,30,-
Time_22,26,9 8,8211 3580,20,39,-
Time_22,28,12 8 7,13855 1039 827,21,50,-
Time_22,30,-,-,-,-,-
Time_22,32,9 8,8211 3629,28,47,-
Time_22,34,9 8 7 8 7 7 7 7 7 7 7 7 7 7,2309 4627 1776 12134 1815 1803 1709 4161 2210 3781 5416 5154 916 1499,29,140,-
Time_22,36,9 7 7,13907 1039 827,50,76,-
Time_22,38,-,-,-,-,-
Time_22,40,10 8 8,13910 1039 827,27,56,-
Time_22,42,9,2087,33,43,-
Time_22,44,-,-,-,-,-
Time_22,46,9 8 8 9 8 8 8 8 8 8 8 8 8 8,2309 4609 1776 12134 1828 1803 1709 4161 2210 3781 5416 5154 916 1499,28,152,-
Time_22,48,-,-,-,-,-
Time_22,50,9 8 8 8 8,508 5032 509 243 566,31,75,-
Time_22,52,-,-,-,-,-
Time_22,54,13 12,8065 3676,26,54,-
Time_22,56,11,9919,22,34,-
Time_22,58,10 9,8165 3676,25,46,-
Time_22,60,10 9 8 9 8 8 8 8 8 9 9 9 8 8,2309 3891 1776 12134 1788 1803 1709 4161 2210 3777 5416 5093 916 1499,19,149,-
Time_22,62,9 8 8,1658 1835 7431,19,47,-
Time_22,64,-,-,-,-,-
Time_22,66,10,9879,26,37,-
Time_22,68,10 8 8,13897 1039 827,26,56,-
Time_22,70,10 8 8 9 8 8 8 8 8 8 8 8 8 8,2309 4616 1776 12134 1828 1803 1709 4161 2210 3781 5416 5154 916 1499,22,145,-
Time_22,72,-,-,-,-,-
Time_22,74,10 8 8,13908 1039 827,20,49,-
Time_22,76,-,-,-,-,-
Time_22,78,9 8 8 9 8 8 8 8 8 8 8 8 8 8,2309 4627 1776 12134 1815 1803 1709 4161 2210 3781 5416 5154 916 1499,20,143,-
Time_22,80,10 8,1229 2925,18,38,-
Time_22,82,12 8 8,13855 1039 827,20,51,-
Time_22,84,11 9 8,13901 1039 827,22,53,-
Time_22,86,11,9953,19,31,-
Time_22,88,-,-,-,-,-
Time_22,90,-,-,-,-,-
Time_22,92,11 9,8158 3676,19,40,-
Time_22,94,10 9 9 10 8 8 8 9 8 9 9 9 8 9,2309 4627 1776 12134 1828 1803 1709 4161 2210 3781 5416 5122 916 1499,19,152,-
Time_22,96,-,-,-,-,-
Time_22,98,-,-,-,-,-
Time_22,100,10 9 9 10 9 9 9 9 9 9 9 9 9 8,2309 4627 1776 12134 1828 1803 1709 4096 2210 3781 5416 5154 916 1499,19,156,-
Time_22,102,11 9 8,13901 1039 827,21,52,-
Time_22,104,11 9,8211 3251,24,46,-
Time_22,106,10 9 8 9 8,508 5050 509 243 566,19,67,-
Time_22,108,10 10 10 11 9 8 8 9 8 9 9 8 8 8,2309 4627 1776 12134 1828 1803 1709 4161 2210 3781 5416 5092 916 1499,23,159,-
Time_22,110,-,-,-,-,-
Time_22,112,-,-,-,-,-
Time_22,114,9,1370,19,29,-
Time_22,116,10 8 8,13908 1039 827,25,55,-
Time_22,118,10 9,8216 3676,24,45,-
Time_22,120,10 9 8 8 8,508 5037 509 243 566,19,66,-
Time_22,122,35 9 8,13901 1039 827,27,83,-
Time_22,124,10 9 8 9 8 8 8 8 8 8 8 8 8 8,2309 4627 1776 12134 1828 1803 1709 4146 2210 3781 5416 5154 916 1499,20,148,-
Time_22,126,11 9 8,13924 1039 827,20,50,-
Time_22,128,10,2063,24,36,-
Time_22,130,-,-,-,-,-
Time_22,132,11 9,8203 3676,20,42,-
Time_22,134,10,2087,18,30,-
Time_22,136,-,-,-,-,-
Time_22,138,-,-,-,-,-
Time_22,140,11,4215,19,32,-
Time_22,142,10,9573,24,35,-
Time_22,144,11 9 8,13896 1039 827,20,50,-
Time_22,146,10,3963,18,30,-
Time_22,148,-,-,-,-,-
Time_22,150,-,-,-,-,-
Time_22,152,-,-,-,-,-
Time_22,154,10 9 9 10 9 9 9 9 9 9 9 9 9 9,2309 4627 1776 12134 1828 1803 1709 4161 2210 3781 5416 5092 916 1499,19,155,-
Time_22,156,10 10,8211 3645,22,45,-
Time_22,158,10 9,8199 3676,23,44,-
Time_22,160,11 10 10 11 10 10 10 10 9 9 9 9 9 9,2309 4627 1776 12134 1712 1803 1709 4161 2210 3781 5416 5154 916 1499,19,161,-
Time_22,162,11 9,8199 3676,24,46,-
Time_22,164,-,-,-,-,-
Time_22,166,10 9,1229 2925,22,43,-
Time_22,168,12,15412,24,38,-
Time_22,170,11 9,8201 3676,18,40,-
Time_22,172,-,-,-,-,-
Time_22,174,-,-,-,-,-
Time_22,176,11 9,1203 2925,23,45,-
Time_22,178,-,-,-,-,-
Time_22,180,-,-,-,-,-
Time_22,182,11 9,8211 3676,39,61,-
Time_22,184,-,-,-,-,-
Time_22,186,11 9 9,13908 1039 827,18,51,-
Time_22,188,13 9 9,13609 1039 827,18,51,-
Time_22,190,-,-,-,-,-
Time_22,192,-,-,-,-,-
Time_22,194,-,-,-,-,-
