bug_ID,variant_ID,process_lifetime,execute_time,run_failing_test_case_time,run_regression_test_case_time
Math_68,2,334,115,335,-
Math_68,4,190,37,191,-
Math_68,6,221,71,221,-
Math_68,8,198,56,198,-
Math_68,10,174,41,175,-
Math_68,12,186,47,187,-
Math_68,14,121,37,121,-
Math_68,16,229,72,229,-
Math_68,18,211,50,212,-
Math_68,20,207,41,207,-
Math_68,22,604,441,605,-
Math_68,24,276,57,277,-
Math_68,26,164,65,164,-
Math_68,28,223,89,224,-
Math_68,30,239,75,240,-
Math_68,32,-,-,-,-
Math_68,34,-,-,-,-
Math_68,36,216,72,217,-
Math_68,38,229,105,229,-
Math_68,40,267,122,267,-
Math_68,42,253,98,254,-
Math_68,44,150,37,151,-
Math_68,46,332,107,332,-
Math_68,48,237,95,237,-
Math_68,50,368,171,369,-
Math_68,52,-,-,-,-
Math_68,54,201,82,202,-
Math_68,56,234,70,235,-
Math_68,58,241,67,242,-
Math_68,60,153,38,154,-
Math_68,62,295,154,296,-
Math_68,64,-,-,-,-
Math_68,66,152,35,153,-
Math_68,68,145,37,146,-
Math_68,70,207,66,208,-
Math_68,72,-,-,-,-
Math_68,74,262,73,263,-
Math_68,76,-,-,-,-
Math_68,78,226,96,227,-
Math_68,80,148,49,148,-
Math_68,82,-,-,-,-
Math_68,84,178,78,178,-
Math_68,86,567,440,568,-
Math_68,88,-,-,-,-
Math_68,90,250,90,251,-
Math_68,92,-,-,-,-
Math_68,94,232,84,233,-
Math_68,96,163,48,164,-
Math_68,98,172,69,173,-
Math_68,100,-,-,-,-
Math_68,102,161,56,162,-
Math_68,104,237,70,237,-
Math_68,106,209,85,209,-
Math_68,108,152,35,152,-
Math_68,110,200,72,201,-
Math_68,112,203,48,203,-
Math_68,114,-,-,-,-
Math_68,116,213,82,213,-
Math_68,118,137,42,137,-
Math_68,120,223,80,224,-
Math_68,122,186,80,186,-
Math_68,124,161,53,161,-
Math_68,126,177,44,178,-
Math_68,128,198,76,198,-
Math_68,130,225,87,225,-
Math_68,132,-,-,-,-
Math_68,134,223,68,223,-
Math_68,136,180,59,180,-
Math_68,138,211,45,211,-
Math_68,140,189,71,189,-
Math_68,142,-,-,-,-
Math_68,144,190,44,190,-
Math_68,146,-,-,-,-
Math_68,148,201,71,202,-
Math_68,150,-,-,-,-
Math_68,152,183,71,183,-
Math_68,154,-,-,-,-
Math_68,156,224,72,224,-
Math_68,158,201,52,202,-
Math_68,160,182,42,182,-
Math_68,162,214,125,215,-
Math_68,164,290,71,290,-
Math_68,166,-,-,-,-
Math_68,168,-,-,-,-
Math_68,170,198,84,198,-
Math_68,172,-,-,-,-
Math_68,174,518,426,518,-
Math_68,176,311,124,311,-
Math_68,178,-,-,-,-
Math_68,180,186,44,186,-
Math_68,182,145,40,145,-
Math_68,184,-,-,-,-
Math_68,186,138,49,138,-
Math_68,188,213,65,213,-
Math_68,190,-,-,-,-
Math_68,192,222,38,222,-
Math_68,194,185,58,186,-
Math_68,196,163,37,163,-
Math_68,198,130,38,131,-
Math_68,200,242,72,242,-
Math_68,202,187,70,187,-
Math_68,204,218,68,219,-
Math_68,206,329,145,329,-
Math_68,208,244,72,244,-
Math_68,210,232,88,232,-
Math_68,212,-,-,-,-
Math_68,214,225,93,226,-
Math_68,216,679,480,680,-
Math_68,218,-,-,-,-
Math_68,220,-,-,-,-
Math_68,222,310,91,311,-
Math_68,224,179,73,179,-
Math_68,226,-,-,-,-
Math_68,228,188,72,188,-
Math_68,230,187,72,188,-
Math_68,232,-,-,-,-
Math_68,234,-,-,-,-
Math_68,236,221,74,222,-
Math_68,238,197,37,197,-
Math_68,240,-,-,-,-
Math_68,242,124,37,125,-
Math_68,244,253,119,253,-
Math_68,246,178,39,178,-
Math_68,248,-,-,-,-
Math_68,250,274,78,275,-
Math_68,252,190,55,190,-
Math_68,254,210,94,210,-
Math_68,256,597,449,597,-
Math_68,258,-,-,-,-
Math_68,260,229,88,230,-
Math_68,262,-,-,10002,-
Math_68,264,248,71,249,-
Math_68,266,181,37,181,-
Math_68,268,232,74,233,-
Math_68,270,-,-,-,-
Math_68,272,-,-,-,-
Math_68,274,247,92,247,-
Math_68,276,226,81,226,-
Math_68,278,169,45,169,-
Math_68,280,277,90,277,-
Math_68,282,346,156,346,-
Math_68,284,182,61,182,-
Math_68,286,661,440,661,-
Math_68,288,180,72,181,-
Math_68,290,228,48,228,-
Math_68,292,223,91,223,-
Math_68,294,194,44,194,-
Math_68,296,184,71,184,-
Math_68,298,-,-,-,-
Math_68,300,167,36,167,-
Math_68,302,-,-,-,-
Math_68,304,197,40,197,-
Math_68,306,-,-,-,-
Math_68,308,249,93,249,-
Math_68,310,-,-,-,-
Math_68,312,147,43,147,-
Math_68,314,228,92,228,-
Math_68,316,178,71,178,-
Math_68,318,166,37,167,-
Math_68,320,198,71,198,-
Math_68,322,625,489,626,-
Math_68,324,-,-,-,-
Math_68,326,180,62,180,-
Math_68,328,-,-,-,-
Math_68,330,211,91,211,-
Math_68,332,192,69,193,-
Math_68,334,233,89,233,-
Math_68,336,-,-,-,-
Math_68,338,209,74,210,-
Math_68,340,261,85,262,-
Math_68,342,-,-,-,-
Math_68,344,264,71,264,-
Math_68,346,-,-,-,-
Math_68,348,175,37,176,-
Math_68,350,182,50,182,-
Math_68,352,-,-,-,-
Math_68,354,250,85,250,-
Math_68,356,176,72,176,-
Math_68,358,174,70,174,-
Math_68,360,-,-,10001,-
Math_68,362,-,-,-,-
Math_68,364,154,40,154,-
Math_68,366,-,-,-,-
Math_68,368,-,-,-,-
Math_68,370,221,86,221,-
Math_68,372,-,-,-,-
Math_68,374,248,94,248,-
Math_68,376,222,72,222,-
Math_68,378,-,-,-,-
Math_68,380,209,71,209,-
Math_68,382,240,128,240,-
Math_68,384,-,-,-,-
Math_68,386,213,48,213,-
Math_68,388,212,93,213,-
Math_68,390,239,75,239,-
Math_68,392,273,90,273,-
Math_68,394,214,64,214,-
Math_68,396,148,41,148,-
Math_68,398,226,93,226,-
Math_68,400,-,-,-,-
