bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Math_54,294,-,-,-,-,-
Math_54,296,-,-,-,-,-
Math_54,298,2 1,7823 1479,3,8,-
Math_54,300,-,-,-,-,-
Math_54,302,-,-,-,-,-
Math_54,304,-,-,-,-,-
Math_54,306,2 3,1151 22253,3,10,-
Math_54,308,2 1,7814 1479,3,8,-
Math_54,310,2 3,1151 22350,3,10,-
Math_54,312,2 1,7852 1479,3,9,-
Math_54,314,2 3,1151 22321,3,10,-
Math_54,316,2 3,1151 22273,3,11,-
Math_54,318,-,-,-,-,-
Math_54,320,2 4,1151 20962,3,11,-
Math_54,322,3 3,1151 22320,3,10,-
Math_54,324,2 3,1151 22338,3,10,-
Math_54,326,2 5,1151 22318,3,11,-
Math_54,328,2 1,7818 1479,4,9,-
Math_54,330,2 3,1151 22300,3,10,-
Math_54,332,2 3,1151 22262,3,9,-
Math_54,334,2 3,1151 22328,3,9,-
Math_54,336,2 3,1151 22231,3,9,-
Math_54,338,2 3,1151 22321,4,11,-
Math_54,340,2 3,1151 22334,3,9,-
Math_54,342,2 3,1151 22312,3,10,-
Math_54,344,-,-,-,-,-
Math_54,346,-,-,-,-,-
Math_54,348,-,-,-,-,-
Math_54,350,-,-,-,-,-
Math_54,352,-,-,-,-,-
Math_54,354,-,-,-,-,-
Math_54,356,3 1,7768 1479,3,9,-
Math_54,358,-,-,-,-,-
Math_54,360,-,-,-,-,-
Math_54,362,2 3,1151 22343,3,10,-
Math_54,364,2 1,7822 1479,3,9,-
Math_54,366,-,-,-,-,-
Math_54,368,2 3,1151 22342,3,10,-
Math_54,370,3 2,7817 1479,3,11,-
Math_54,372,-,-,-,-,-
Math_54,374,2 3,1151 22328,3,10,-
Math_54,376,2 1,7826 1479,3,9,-
Math_54,378,-,-,-,-,-
Math_54,380,-,-,-,-,-
Math_54,382,-,-,-,-,-
Math_54,384,-,-,-,-,-
Math_54,386,-,-,-,-,-
Math_54,388,2 3,883 22020,3,10,-
Math_54,390,-,-,-,-,-
Math_54,392,-,-,-,-,-
Math_54,394,-,-,-,-,-
Math_54,396,-,-,-,-,-
Math_54,398,2 3,1151 22311,3,10,-
Math_54,400,2 3,1151 22251,3,9,-
