bug_ID,variant_ID,process_lifetime,execute_time,run_failing_test_case_time,run_regression_test_case_time
Math_19,2,-,-,-,-
Math_19,4,-,-,-,-
Math_19,6,4439,4272,4440,-
Math_19,8,4394,4291,4395,-
Math_19,10,4299,4209,4300,-
Math_19,12,5137,4987,5138,-
Math_19,14,6615,6474,6616,-
Math_19,16,6439,6296,6439,-
Math_19,18,-,-,-,-
Math_19,20,6583,6413,6584,-
Math_19,22,7494,7285,7494,-
Math_19,24,4443,4306,4443,-
Math_19,26,6436,6280,6437,-
Math_19,28,-,-,-,-
Math_19,30,6541,6281,6542,-
Math_19,32,8945,8801,8946,-
Math_19,34,-,-,-,-
Math_19,36,-,-,-,-
Math_19,38,6550,6424,6550,-
Math_19,40,4397,4267,4397,-
Math_19,42,7357,7253,7358,-
Math_19,44,6615,6458,6616,-
Math_19,46,6531,6432,6531,-
Math_19,48,4449,4345,4450,-
Math_19,50,4361,4240,4361,-
Math_19,52,-,-,-,-
Math_19,54,6613,6423,6614,-
Math_19,56,6470,6311,6471,-
Math_19,58,-,-,-,-
Math_19,60,-,-,-,-
Math_19,62,6649,6456,6650,-
Math_19,64,-,-,-,-
Math_19,66,4394,4260,4394,-
Math_19,68,-,-,-,-
Math_19,70,6714,6404,6715,-
Math_19,72,4439,4237,4440,-
Math_19,74,7379,7223,7380,-
Math_19,76,6498,6348,6499,-
Math_19,78,6760,6589,6761,-
Math_19,80,7939,7746,7940,-
Math_19,82,4545,4381,4545,-
Math_19,84,6452,6310,6453,-
Math_19,86,-,-,-,-
Math_19,88,5229,5067,5234,-
Math_19,90,6488,6272,6489,-
Math_19,92,7258,7115,7258,-
Math_19,94,6522,6332,6522,-
Math_19,96,-,-,-,-
Math_19,98,6485,6336,6485,-
Math_19,100,-,-,-,-
Math_19,102,4480,4307,4481,-
Math_19,104,-,-,-,-
Math_19,106,6586,6388,6587,-
Math_19,108,6519,6344,6520,-
Math_19,110,-,-,-,-
Math_19,112,-,-,-,-
Math_19,114,-,-,-,-
Math_19,116,-,-,-,-
Math_19,118,4571,4410,4572,-
Math_19,120,-,-,-,-
Math_19,122,6450,6237,6451,-
Math_19,124,6571,6348,6571,-
Math_19,126,6540,6407,6540,-
Math_19,128,6709,6602,6710,-
Math_19,130,-,-,-,-
Math_19,132,-,-,-,-
Math_19,134,6439,6289,6439,-
Math_19,136,6510,6317,6511,-
Math_19,138,4508,4336,4509,-
Math_19,140,4309,4210,4309,-
Math_19,142,5221,5066,5222,-
Math_19,144,-,-,-,-
Math_19,146,-,-,-,-
Math_19,148,6690,6422,6690,-
Math_19,150,4433,4248,4434,-
Math_19,152,4388,4222,4388,-
Math_19,154,-,-,-,-
Math_19,156,-,-,-,-
Math_19,158,6403,6243,6404,-
Math_19,160,6409,6261,6410,-
Math_19,162,4517,4343,4518,-
Math_19,164,6705,6527,6705,-
Math_19,166,-,-,-,-
Math_19,168,-,-,-,-
Math_19,170,-,-,-,-
Math_19,172,4518,4319,4518,-
Math_19,174,-,-,-,-
Math_19,176,8618,8361,8618,-
Math_19,178,-,-,-,-
Math_19,180,6409,6263,6410,-
Math_19,182,4483,4285,4483,-
Math_19,184,4405,4258,4405,-
Math_19,186,4485,4279,4486,-
Math_19,188,6364,6236,6365,-
Math_19,190,-,-,-,-
Math_19,192,6629,6389,6629,-
Math_19,194,6492,6324,6493,-
Math_19,196,4434,4317,4434,-
Math_19,198,6432,6281,6432,-
Math_19,200,6479,6336,6479,-
Math_19,202,-,-,-,-
Math_19,204,6497,6331,6498,-
Math_19,206,-,-,-,-
Math_19,208,4490,4294,4490,-
Math_19,210,-,-,-,-
Math_19,212,6615,6373,6616,-
Math_19,214,4446,4282,4446,-
Math_19,216,-,-,-,-
Math_19,218,6507,6326,6508,-
Math_19,220,6665,6411,6666,-
Math_19,222,4445,4269,4446,-
Math_19,224,6457,6305,6458,-
Math_19,226,4432,4320,4433,-
Math_19,228,6466,6325,6466,-
Math_19,230,6651,6475,6651,-
Math_19,232,6595,6409,6596,-
Math_19,234,4435,4266,4435,-
Math_19,236,6443,6318,6444,-
Math_19,238,-,-,-,-
Math_19,240,4852,4665,4853,-
Math_19,242,4292,4189,4293,-
Math_19,244,6438,6291,6438,-
Math_19,246,7494,7348,7494,-
Math_19,248,6634,6399,6635,-
Math_19,250,-,-,-,-
Math_19,252,6521,6340,6521,-
Math_19,254,6549,6399,6550,-
