bug_id,avg_process_failing_time,avg_hotswap_failing_time,avg_hotswap_time,avg_process_regression_time,avg_hotswap_regression_time,regular_count,process_timeout_count,hotswap_timeout_count
Lang_27,144,7,2,,,5,0,0
Lang_28,104,4,2,,,5,0,0
Lang_29,113,5,2,,,5,0,0
Lang_30,120,6,2,,,7,0,0
Lang_31,108,5,2,,,7,0,0
Lang_32,120,4,1,,,4,0,0
Lang_33,152,7,1,,,4,0,0
Lang_34,125,10,1,,,4,0,0
Lang_35,91,7,2,,,17,0,0
Lang_36,116,7,2,,,15,0,0
Lang_37,101,4,2,,,9,0,0
Lang_38,133,8,3,,,9,0,0
Lang_39,212,12,1,,,9,0,0
Lang_40,101,7,4,,,12,0,0
Lang_41,152,7,2,,,26,0,0
Lang_42,153,34,10,,,94,0,0
Lang_43,1024,230,1,,,8,3,0
Lang_44,98,4,1,9937,8349,68,0,0
Lang_45,85,4,2,9812,7959,66,0,0
Lang_46,206,49,1,,,30,0,0
Lang_47,118,11,5,,,18,0,0
Lang_48,,,,,,0,0,0
Lang_49,,,,,,0,0,0
Lang_50,,,,,,0,0,0
Lang_51,,,,,,0,0,0
Lang_52,,,,,,0,0,0
Lang_53,,,,,,0,0,0
Lang_54,,,,,,0,0,0
Lang_55,,,,,,0,0,0
Lang_56,,,,,,0,0,0
Lang_57,,,,,,0,0,0
Lang_58,,,,,,0,0,0
Lang_59,,,,,,0,0,0
Lang_60,110,7,3,,,73,0,0
Lang_61,110,14,2,,,77,4,4
Lang_62,137,54,5,,,97,0,0
Lang_63,159,10,2,9294,8874,72,0,0
Lang_64,189,43,1,,,33,0,0
Lang_65,171,9,1,,,40,0,0
Time_1,137,17,14,,,445,0,0
Time_2,189,22,16,,,402,35,0
Time_3,146,15,9,,,496,8,8
Time_4,185,21,14,,,404,35,0
Time_5,207,16,11,,,418,0,0
Time_6,130,14,12,,,450,0,0
Time_7,182,22,15,,,416,37,0
Time_8,194,21,12,,,410,31,0
Time_9,193,20,11,,,410,31,0
Time_10,156,16,12,,,429,26,0
Time_11,192,21,12,,,448,0,0
Time_12,165,12,7,,,389,31,0
Time_13,129,15,12,,,439,0,0
Time_14,183,20,14,,,428,26,0
Time_15,177,24,10,,,390,0,0
Time_16,228,27,16,,,539,38,0
Time_17,262,20,10,,,365,31,0
Time_18,347,33,9,,,387,0,3
Time_19,188,15,9,,,365,31,0
Time_20,141,16,5,,,419,31,31
Time_21,191,18,9,,,342,31,0
Time_22,189,18,13,,,447,0,0
Time_23,180,20,10,,,404,35,4
Time_24,168,21,15,6782,4042,631,41,0
Time_25,185,18,10,,,463,35,4
Time_26,188,18,8,,,576,39,8
Time_27,133,20,16,,,623,0,0
