bug_ID,avg_test_time_by_default,avg_test_time_by_hotswap
Time_1,374,61
Time_2,385,68
Time_3,374,56
Time_4,385,58
Time_5,392,59
Time_6,374,54
Time_7,373,67
Time_8,367,54
Time_9,374,59
Time_10,460,65
Time_11,384,68
Time_12,376,61
Time_13,367,67
Time_14,381,71
Time_15,369,59
Time_16,364,71
Time_17,384,59
Time_18,396,75
Time_19,390,63
Time_20,374,69
Time_21,366,56
Time_22,384,65
Time_23,363,58
Time_24,362,73
Time_25,366,65
Time_26,364,74
Time_27,398,78
