bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Math_30,2,20 20 20,1423 1003 6071,4146,4209,-
Math_30,4,-,-,-,-,-
Math_30,6,-,-,-,-,-
Math_30,8,14 14 15,1423 1003 6116,4129,4175,-
Math_30,10,-,-,-,-,-
Math_30,12,-,-,-,-,-
Math_30,14,-,-,-,-,-
Math_30,16,20 18 14,1423 1003 6069,4131,4186,-
Math_30,18,14 19 20,1423 1003 6106,4148,4204,-
Math_30,20,-,-,-,-,-
Math_30,22,-,-,-,-,-
Math_30,24,19 19 18,1423 1003 6075,4154,4212,-
Math_30,26,-,-,-,-,-
Math_30,28,-,-,-,-,-
Math_30,30,-,-,-,-,-
Math_30,32,-,-,-,-,-
Math_30,34,20 16 14,1423 1003 6097,4147,4200,-
Math_30,36,14 13 14,1423 1003 6092,4148,4192,-
Math_30,38,-,-,-,-,-
Math_30,40,-,-,-,-,-
Math_30,42,15 14 14,1423 1003 6092,4146,4191,-
Math_30,44,14,943,4147,4163,-
Math_30,46,-,-,-,-,-
Math_30,48,14 15 14,1423 1003 6097,4140,4186,-
Math_30,50,15 15 15,1423 1003 6075,4152,4199,-
Math_30,52,-,-,-,-,-
Math_30,54,-,-,-,-,-
Math_30,56,1 0 3,1423 1003 5969,4258,4375,-
Math_30,58,3 2 3,1423 1003 6050,3965,3976,-
Math_30,60,2 2 3,1423 1003 6076,3970,3980,-
Math_30,62,3 2 3,1423 1003 6076,3980,3992,-
Math_30,64,3 3 2,1423 1003 6069,3979,3990,-
Math_30,66,-,-,-,-,-
Math_30,68,2,3109,3987,3990,-
Math_30,70,2 2 2,1423 1003 6114,3978,3986,-
Math_30,72,-,-,-,-,-
Math_30,74,3 2 2,1423 1003 6097,3962,3971,-
Math_30,76,-,-,-,-,-
Math_30,78,-,-,-,-,-
Math_30,80,2 2 2,1423 1003 6089,3948,3958,-
Math_30,82,2 2 2,1423 1003 6109,3966,3974,-
Math_30,84,-,-,-,-,-
Math_30,86,-,-,-,-,-
Math_30,88,-,-,-,-,-
Math_30,90,-,-,-,-,-
Math_30,92,2 2 3,1423 1003 6058,3980,3990,-
Math_30,94,-,-,-,-,-
Math_30,96,2 2 2,1423 1003 6081,3973,3982,-
Math_30,98,3 3 2,1423 1003 6071,3973,3984,-
Math_30,100,2 2 2,1423 1003 6076,3973,3983,-
Math_30,102,3,3033,3967,3971,-
Math_30,104,2,960,3951,3955,-
Math_30,106,-,-,-,-,-
Math_30,108,2 2 3,1423 946 6097,3961,3970,-
Math_30,110,2 2 2,1423 1003 6058,3972,3981,-
Math_30,112,2 2 2,1423 1003 6025,3971,3980,-
Math_30,114,2 2 2,1423 1003 6043,3971,3980,-
Math_30,116,2 2 2,1423 1003 6058,3968,3978,-
Math_30,118,-,-,-,-,-
Math_30,120,-,-,-,-,-
Math_30,122,-,-,-,-,-
Math_30,124,-,-,-,-,-
Math_30,126,2 2 2,1423 1003 5910,3970,3979,-
Math_30,128,-,-,-,-,-
Math_30,130,3 2 2,1423 1003 5878,3958,3967,-
Math_30,132,-,-,-,-,-
Math_30,134,3 3 2,1423 1003 6076,3966,3977,-
Math_30,136,3 2 2,1423 1003 6092,3970,3980,-
Math_30,138,2,3033,3970,3975,-
Math_30,140,3 2 2,1423 1003 6076,3964,3973,-
Math_30,142,-,-,-,-,-
Math_30,144,-,-,-,-,-
Math_30,146,2,976,3956,3960,-
Math_30,148,-,-,-,-,-
Math_30,150,3 2 2,1423 1003 5878,3965,3974,-
Math_30,152,3 2 3,1423 1003 5943,3960,3970,-
Math_30,154,-,-,-,-,-
Math_30,156,-,-,-,-,-
Math_30,158,-,-,-,-,-
Math_30,160,3 2 3,1423 1003 6076,3969,3979,-
Math_30,162,-,-,-,-,-
Math_30,164,-,-,-,-,-
Math_30,166,-,-,-,-,-
Math_30,168,3 3,2739 564,3966,3973,-
Math_30,170,3 2 3,1423 1003 6019,3953,3963,-
Math_30,172,-,-,-,-,-
Math_30,174,3 2 2,1423 1003 6087,3964,3973,-
Math_30,176,3 2 2,1423 1003 6075,3970,3979,-
Math_30,178,3 2 2,1423 1003 6092,3968,3978,-
Math_30,180,3 2 2,1423 1003 6067,3957,3966,-
Math_30,182,3 2 3,1423 1003 6076,3953,3963,-
Math_30,184,-,-,-,-,-
Math_30,186,3,3033,3958,3962,-
Math_30,188,3 2 3,1423 1003 6075,3966,3976,-
Math_30,190,3 2 2,1423 1003 5878,3971,3981,-
Math_30,192,3 2 3,1423 1003 6075,3958,3968,-
Math_30,194,-,-,-,-,-
Math_30,196,3 2 2,1423 1003 6092,3952,3962,-
Math_30,198,3 2 2,1423 1003 5943,3969,3979,-
Math_30,200,3 2 2,1423 1003 5943,3962,3971,-
Math_30,202,3,939,3954,3958,-
Math_30,204,3 2 2,1423 1003 6097,3951,3961,-
Math_30,206,-,-,-,-,-
Math_30,208,-,-,-,-,-
Math_30,210,3 2 2,1423 1003 6076,3949,3959,-
Math_30,212,-,-,-,-,-
Math_30,214,3 2 2,1423 1003 5943,3960,3970,-
Math_30,216,-,-,-,-,-
Math_30,218,4 3 4,1423 1003 6075,3969,3982,-
Math_30,220,-,-,-,-,-
Math_30,222,-,-,-,-,-
Math_30,224,3 2,2796 564,3968,3975,-
Math_30,226,3 2 2,1423 1003 6087,3963,3974,-
Math_30,228,-,-,-,-,-
Math_30,230,3 2,2805 564,3964,3971,-
Math_30,232,3 2 2,1423 1045 6097,3969,3978,-
Math_30,234,3 2 2,1419 1003 5791,3966,3975,-
Math_30,236,-,-,-,-,-
Math_30,238,3,3033,3969,3973,-
Math_30,240,-,-,-,-,-
Math_30,242,-,-,-,-,-
Math_30,244,3 2 2,1423 1003 6069,3970,3979,-
Math_30,246,-,-,-,-,-
Math_30,248,-,-,-,-,-
Math_30,250,3 2 2,1423 1003 6077,3970,3980,-
Math_30,252,-,-,-,-,-
Math_30,254,3,939,3973,3977,-
Math_30,256,4 3 2,1423 1003 6104,3940,3952,-
Math_30,258,3 2 2,1423 1003 6078,3953,3963,-
Math_30,260,3 3 3,1423 1003 6080,3966,3976,-
Math_30,262,3 3 3,1423 1003 6078,3964,3976,-
Math_30,264,-,-,-,-,-
Math_30,266,-,-,-,-,-
Math_30,268,3 2 3,1423 1003 5943,3961,3972,-
Math_30,270,3 3 3,1423 1003 6019,3955,3966,-
Math_30,272,3 3 3,1423 1003 6058,3976,3987,-
Math_30,274,4 4 3,1423 1003 6071,3947,3960,-
Math_30,276,3 3 3,1423 1003 6097,3956,3967,-
Math_30,278,-,-,-,-,-
Math_30,280,3 3 3,1423 1003 6069,3944,3955,-
Math_30,282,3 3 3,1423 1003 6064,3963,3974,-
Math_30,284,-,-,-,-,-
Math_30,286,-,-,-,-,-
Math_30,288,-,-,-,-,-
Math_30,290,-,-,-,-,-
Math_30,292,-,-,-,-,-
Math_30,294,-,-,-,-,-
Math_30,296,3 3 3,1423 1003 6019,3964,3975,-
Math_30,298,-,-,-,-,-
Math_30,300,3 3 3,1423 1003 6083,3955,3966,-
Math_30,302,-,-,-,-,-
Math_30,304,-,-,-,-,-
Math_30,306,-,-,-,-,-
Math_30,308,-,-,-,-,-
Math_30,310,1 0 2,1423 1003 6068,4233,4337,-
Math_30,312,-,-,-,-,-
Math_30,314,2 2 3,1423 1003 6071,4010,4020,-
Math_30,316,2 2 3,1423 1003 6043,3934,3943,-
Math_30,318,3 2 3,1423 1003 6078,3937,3946,-
Math_30,320,-,-,-,-,-
Math_30,322,-,-,-,-,-
Math_30,324,2 2 2,1423 1003 6080,3942,3949,-
Math_30,326,-,-,-,-,-
Math_30,328,1 0 2,1423 1003 6076,4343,4449,-
Math_30,330,2 2 3,1423 1003 6105,3992,4001,-
Math_30,332,-,-,-,-,-
Math_30,334,3 2 3,1423 1003 6043,4001,4011,-
Math_30,336,3 2 2,1423 1003 6076,4010,4020,-
Math_30,338,2 1 2,1423 1003 6092,4008,4015,-
Math_30,340,-,-,-,-,-
