bug_ID,variant_ID,process_lifetime,execute_time,run_failing_test_case_time,run_regression_test_case_time
Math_100,2,222,83,223,-
Math_100,4,-,-,-,-
Math_100,6,509,79,510,-
Math_100,8,324,88,325,-
Math_100,10,-,-,10002,-
Math_100,12,215,71,216,-
Math_100,14,294,81,294,-
Math_100,16,292,79,294,-
Math_100,18,284,75,285,-
Math_100,20,274,82,275,-
Math_100,22,230,76,231,-
Math_100,24,-,-,-,-
Math_100,26,411,77,424,-
Math_100,28,287,82,288,-
Math_100,30,217,80,218,-
Math_100,32,230,81,230,-
Math_100,34,357,75,358,-
Math_100,36,242,73,242,-
Math_100,38,-,-,-,-
Math_100,40,231,77,232,-
Math_100,42,265,73,266,-
Math_100,44,274,81,274,-
Math_100,46,-,-,-,-
Math_100,48,301,123,301,-
Math_100,50,304,104,305,-
Math_100,52,237,54,238,-
Math_100,54,228,65,228,-
Math_100,56,317,74,317,-
Math_100,58,364,82,364,-
Math_100,60,-,-,-,-
Math_100,62,-,-,-,-
Math_100,64,-,-,-,-
Math_100,66,-,-,-,-
Math_100,68,-,-,-,-
Math_100,70,591,110,591,-
Math_100,72,253,65,253,-
Math_100,74,339,89,340,-
Math_100,76,-,-,-,-
Math_100,78,307,101,307,-
Math_100,80,249,80,250,-
Math_100,82,221,71,221,-
Math_100,84,-,-,-,-
Math_100,86,-,-,-,-
Math_100,88,249,79,250,-
Math_100,90,286,116,286,-
Math_100,92,-,-,-,-
Math_100,94,328,124,328,-
Math_100,96,402,104,403,-
Math_100,98,242,70,243,-
Math_100,100,-,-,-,-
Math_100,102,206,67,206,-
Math_100,104,230,69,231,-
Math_100,106,-,-,-,-
Math_100,108,-,-,-,-
Math_100,110,276,71,276,-
Math_100,112,284,105,284,-
Math_100,114,-,-,-,-
Math_100,116,236,80,237,-
Math_100,118,234,72,234,-
Math_100,120,244,71,244,-
Math_100,122,-,-,-,-
Math_100,124,340,63,340,-
Math_100,126,258,57,258,-
Math_100,128,321,104,322,-
Math_100,130,291,107,292,-
Math_100,132,247,74,247,-
Math_100,134,244,73,244,-
Math_100,136,264,67,264,-
Math_100,138,-,-,-,-
Math_100,140,256,72,257,-
Math_100,142,306,143,306,-
Math_100,144,267,86,268,-
Math_100,146,301,93,301,-
Math_100,148,250,70,250,-
Math_100,150,269,81,270,-
Math_100,152,-,-,-,-
Math_100,154,229,67,230,-
Math_100,156,204,75,204,-
Math_100,158,272,77,273,-
Math_100,160,-,-,10006,-
Math_100,162,250,89,250,-
Math_100,164,260,89,260,-
Math_100,166,296,114,297,-
Math_100,168,-,-,-,-
Math_100,170,200,67,201,-
Math_100,172,262,67,263,-
Math_100,174,235,60,235,-
Math_100,176,286,78,287,-
Math_100,178,223,64,224,-
Math_100,180,271,99,271,-
Math_100,182,269,64,270,-
Math_100,184,-,-,-,-
Math_100,186,244,92,245,-
Math_100,188,243,66,244,-
Math_100,190,246,69,247,-
Math_100,192,270,67,270,-
Math_100,194,241,68,242,-
Math_100,196,238,68,239,-
Math_100,198,-,-,10003,-
Math_100,200,250,85,251,-
Math_100,202,255,78,256,-
Math_100,204,243,71,244,-
Math_100,206,-,-,-,-
Math_100,208,-,-,-,-
Math_100,210,-,-,-,-
Math_100,212,284,125,285,-
Math_100,214,215,62,216,-
Math_100,216,236,80,237,-
Math_100,218,260,98,261,-
Math_100,220,252,77,253,-
Math_100,222,203,73,204,-
Math_100,224,224,82,225,-
Math_100,226,245,70,245,-
Math_100,228,241,78,242,-
Math_100,230,256,93,256,-
Math_100,232,-,-,-,-
Math_100,234,197,73,198,-
Math_100,236,195,68,196,-
Math_100,238,216,64,217,-
Math_100,240,-,-,-,-
Math_100,242,223,70,224,-
Math_100,244,254,77,255,-
Math_100,246,234,71,235,-
Math_100,248,317,77,318,-
Math_100,250,233,88,234,-
Math_100,252,189,65,190,-
Math_100,254,185,69,185,-
Math_100,256,245,100,246,-
Math_100,258,216,79,217,-
Math_100,260,209,75,210,-
Math_100,262,-,-,-,-
