bug_ID,avg_test_time_by_default,avg_test_time_by_hotswap
Chart_1,165,24
Chart_2,121,16
Chart_3,240,18
Chart_4,521,45
Chart_5,216,14
Chart_6,214,13
Chart_7,226,13
Chart_8,0,0
Chart_9,247,15
Chart_10,89,14
Chart_11,95,12
Chart_12,263,16
Chart_13,151,17
Chart_14,435,40
Chart_15,278,15
Chart_16,211,14
Chart_17,237,15
Chart_18,141,14
Chart_19,353,25
Chart_20,256,16
Chart_21,212,15
Chart_22,133,12
Chart_23,293,29
Chart_24,196,13
Chart_25,304,22
Chart_26,458,37
